libelle,finess_juridique,nom
AP-HP,750712184,AP-HP
CGFL Dijon,210780417,CRLCC Georges-François Leclerc
CH Lisieux,140000035,CH Lisieux
CH Morlaix,290021542,CH des pays de Morlaix
CH4V,920009909,CH des Quatre Villes
CHU Amiens,800000044,CHU Amiens-Picardie
CHU Besançon,250000015,CHU Besançon
CHU Bordeaux,330781196,CHU de Bordeaux
CHU Brest,290000017,CHRU Brest
CHU Dijon,210780581,CHU Dijon Bourgogne
CHU Nancy,540023264,CHRU de Nancy
CHU Nantes,440000289,CHU de Nantes
CHU Reims,510000029,CHU Reims
CHU Tours,370000481,CHU de Tours
FOCH,920150059,Association Hôpital Foch
Groupeme Hospitalier de la Haute-Saône,700004591,Groupe hospitalier de Haute-Saône
HCL,690781810,Hospices civils de Lyon
Hopitaux Civiles de Colmar,680000973,Hôpitaux civils de Colmar
Hôpitaux Universitaires de Strasbourg,670780055,HU de Strasbourg
